query,title,link,published,snippet
dengue India,"Virus causing dengue has evolved dramatically in India, finds multi-institutional study - The Hindu",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNN2N3MUxkeFRfUXFXTTVkVXBFVUFWemxCSmVONlVqVWdjVU8xRWViak1EUldFajJEYlRsSXNWaG14ak15VGhsaTc3aTJHN1BIMkFjNGhMdmQySXpFeFRUNkdsWFFacjVTSTFTSTB6WjRRMzRwRTdlams5X1owTFJOeFRGb2pEU2Q3RDVCVEQwS2RiYXhsM0ZiMVgxTDczTXVONkxSR2p3a1VGZHdkYm51R3o3OWg3bENxaXFRSzBQRWJob251dEZyOVBJWk9ydnZJbW9zREtNeU5pbW9nV1YwZ9IB5wFBVV95cUxPYmJOSThTV3d6WlNYWVRpTk9IRk1Kb29CbkhzNUZuODRJd3p4d3hIZFgxX084UWdIVVdyUFZSc0JIUFVTWVNWMGNyMHNTX0dQZXpRTHp2NGpoUzJXZlhsX2ZNMnBiS3F4WlRqZDRDQnlHQlgtQ3d5cDlEWDhDOVhkbU9PNzFZa2tWRVNhZ0paZ0NKYVJpMUV2NjR2TjJkdTRiQTNCNlhHS3JuY1ZaT0JZbnhUREZSb1J3RGoxNjdON2dsQ3F1anhyV09uaUQ1VEJVMnVLakVoUjZER3ZiNi15U1lXQzNKLWs?oc=5,2023-05-01,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNN2N3MUxkeFRfUXFXTTVkVXBFVUFWemxCSmVONlVqVWdjVU8xRWViak1EUldFajJEYlRsSXNWaG14ak15VGhsaTc3aTJHN1BIMkFjNGhMdmQySXpFeFRUNkdsWFFacjVTSTFTSTB6WjRRMzRwRTdlams5X1owTFJOeFRGb2pEU2Q3RDVCVEQwS2RiYXhsM0ZiMVgxTDczTXVONkxSR2p3a1VGZHdkYm51R3o3OWg3bENxaXFRSzBQRWJob251dEZyOVBJWk9ydnZJbW9zREtNeU5pbW9nV1YwZ9IB5wFBVV95cUxPYmJOSThTV3d6WlNYWVRpTk9IRk1Kb29CbkhzNUZuODRJd3p4d3hIZFgxX084UWdIVVdyUFZSc0JIUFVTWVNWMGNyMHNTX0dQZXpRTHp2NGpoUzJXZlhsX2ZNMnBiS3F4WlRqZDRDQnlHQlgtQ3d5cDlEWDhDOVhkbU9PNzFZa2tWRVNhZ0paZ0NKYVJpMUV2NjR2TjJkdTRiQTNCNlhHS3JuY1ZaT0JZbnhUREZSb1J3RGoxNjdON2dsQ3F1anhyV09uaUQ1VEJVMnVLakVoUjZER3ZiNi15U1lXQzNKLWs?oc=5"" target=""_blank"">Virus causing dengue has evolved dramatically in India, finds multi-institutional study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>"
dengue India,"Unraveling Dengue Dynamics: In-Depth Epidemiological and Entomological Analyses in Bengaluru, India - Wiley Online Library",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE83VTlXbkkwdVNlamdFT0g4eWNMNC1keV9qWjB6VDRnTGppQ3E0aHlvRUFGY295SFI0dHB2VVV3ZkxXRkprNGtfRDhOZFJDSEFJNGpmajhqS3htY3lPZF9pZFEtdUxjdEk?oc=5,2024-02-10,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE83VTlXbkkwdVNlamdFT0g4eWNMNC1keV9qWjB6VDRnTGppQ3E0aHlvRUFGY295SFI0dHB2VVV3ZkxXRkprNGtfRDhOZFJDSEFJNGpmajhqS3htY3lPZF9pZFEtdUxjdEk?oc=5"" target=""_blank"">Unraveling Dengue Dynamics: In-Depth Epidemiological and Entomological Analyses in Bengaluru, India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Wiley Online Library</font>"
dengue India,"Molecular surveillance of dengue virus in field-collected Aedes mosquitoes from Bhopal, central India: evidence of circulation of a new lineage of serotype 2 - Frontiers",https://news.google.com/rss/articles/CBMilAFBVV95cUxOdTZyWFJtXy1JSGxzQ1F6aGJCMkhkTWNYaEZ5Q091eHRQNm82cXg2VjVVNEZUQjBaSnIwdlpTQkdYVGI0VUN6bXNUdW5aR2FHbXpVY3oyNWs5RGZIRGpnR0M2ZVlMSTVLNnB2VWlSRkFORVhBRFprQmtOSGtVMmRCblVrZjFDdjE2X2pINUNYZXcwQmE0?oc=5,2023-09-13,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOdTZyWFJtXy1JSGxzQ1F6aGJCMkhkTWNYaEZ5Q091eHRQNm82cXg2VjVVNEZUQjBaSnIwdlpTQkdYVGI0VUN6bXNUdW5aR2FHbXpVY3oyNWs5RGZIRGpnR0M2ZVlMSTVLNnB2VWlSRkFORVhBRFprQmtOSGtVMmRCblVrZjFDdjE2X2pINUNYZXcwQmE0?oc=5"" target=""_blank"">Molecular surveillance of dengue virus in field-collected Aedes mosquitoes from Bhopal, central India: evidence of circulation of a new lineage of serotype 2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Frontiers</font>"
dengue India,A retrospective study of environmental predictors of dengue in Delhi from 2015 to 2018 using the generalized linear model - Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1INGFIZjRWYW9oaUNlSWp5N1dmZHhZUWFCNlJ2Mzd6cjdTcUxoZERTSlZRRVNjTU1HQWFUa0V5dUJJa3U5ell0VzZmMWdGNUc2dFlkWEpGQU1PTEg3ZWNn?oc=5,2022-05-16,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE1INGFIZjRWYW9oaUNlSWp5N1dmZHhZUWFCNlJ2Mzd6cjdTcUxoZERTSlZRRVNjTU1HQWFUa0V5dUJJa3U5ell0VzZmMWdGNUc2dFlkWEpGQU1PTEg3ZWNn?oc=5"" target=""_blank"">A retrospective study of environmental predictors of dengue in Delhi from 2015 to 2018 using the generalized linear model</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nature</font>"
dengue India,India inches closer to first indigenous dengue vaccine - Times of India,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWWJobERKbjk3c19HMzFzR2xqT3FWbXF4c0M2SGlaNndLZ0lNMlQ1SkM1RzdXUGZuMnRELUZjZVZ5X0lwZWRGNDBESERVcVZsM1VaV2tsTTI3dW5wanNXOW9HNThsYnJTdzhRc1d3ZUM2Uy1mRkVod2VYTjNlTTVKbkRueFJBQS1GU1poRU9FRHlYcWdMYm1jSm1vUEhHUDk1QjVSU3lTR2tSRnBmdUxIWHl3U1MyNnFpaWJOZlMzTkNjMlA30gHKAUFVX3lxTE5sUnR0VlJfcDdieGg2NlpvTEFJSk5jbTAtN1RGbTB0YTlxM1YwZU1LVXRheG1yR2dTeU9LVmU2QXQtQXdmLUROQ2x6d1ctWlZOQTZvT21zUnp0MUxEN3dwaFpacFVUNEdUUXVPaEI0TktZTUZHemwyYzFFSXdwVGd0US1CMFFVQWprVlI0eEJtM0hRczFxRXdjZ1RuSkdlR0lZLUhGNVMzQnVMcEZXM0FaU2U2M2ZqbWtjQmFrYTNjQWhiRUpPM1NickE?oc=5,2023-08-05,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNWWJobERKbjk3c19HMzFzR2xqT3FWbXF4c0M2SGlaNndLZ0lNMlQ1SkM1RzdXUGZuMnRELUZjZVZ5X0lwZWRGNDBESERVcVZsM1VaV2tsTTI3dW5wanNXOW9HNThsYnJTdzhRc1d3ZUM2Uy1mRkVod2VYTjNlTTVKbkRueFJBQS1GU1poRU9FRHlYcWdMYm1jSm1vUEhHUDk1QjVSU3lTR2tSRnBmdUxIWHl3U1MyNnFpaWJOZlMzTkNjMlA30gHKAUFVX3lxTE5sUnR0VlJfcDdieGg2NlpvTEFJSk5jbTAtN1RGbTB0YTlxM1YwZU1LVXRheG1yR2dTeU9LVmU2QXQtQXdmLUROQ2x6d1ctWlZOQTZvT21zUnp0MUxEN3dwaFpacFVUNEdUUXVPaEI0TktZTUZHemwyYzFFSXdwVGd0US1CMFFVQWprVlI0eEJtM0hRczFxRXdjZ1RuSkdlR0lZLUhGNVMzQnVMcEZXM0FaU2U2M2ZqbWtjQmFrYTNjQWhiRUpPM1NickE?oc=5"" target=""_blank"">India inches closer to first indigenous dengue vaccine</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>"
dengue India,"The burden of dengue and force of infection among children in Kerala, India; seroprevalence estimates from Government of Kerala-WHO Dengue study - The Lancet",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQOFJyUXVVUVp3Y1V3T3pFTk1weVBtWXlFcl8xUHMyc0FYclpHc2l5dUQ1M25jZld0LUpxUUgwZDJPa3NfSng5dUlMWm5jXy1odkZmYnJPQkFEckFER3phNkR6b2xEQ1dIem1PdWpibk5MZF9reENfdGpxUGstQTRVM3hLREg1NDRwZHJn?oc=5,2023-12-11,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQOFJyUXVVUVp3Y1V3T3pFTk1weVBtWXlFcl8xUHMyc0FYclpHc2l5dUQ1M25jZld0LUpxUUgwZDJPa3NfSng5dUlMWm5jXy1odkZmYnJPQkFEckFER3phNkR6b2xEQ1dIem1PdWpibk5MZF9reENfdGpxUGstQTRVM3hLREg1NDRwZHJn?oc=5"" target=""_blank"">The burden of dengue and force of infection among children in Kerala, India; seroprevalence estimates from Government of Kerala-WHO Dengue study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Lancet</font>"
dengue India,India Cricket Star's Sickness Shows Dengue’s Rising Danger: Prognosis - Bloomberg,https://news.google.com/rss/articles/CBMivwFBVV95cUxNZko5V2FodnN4UC1aYWNmRzVyajBKd25PaVdfaTZHLXQzb3Z2aTFGcVkzLWdPTGFpZkZHMWNzdWdvUGg1Rk5JSkRzZ1NvaE5GNTBGdElJTUEzd0YtdVBnVG9TWlNCdHR4bU1UY0Qxbzk1bV9QaHN1OVFfNWxXUkY3VDRPQk12dlVIWGpLSVE1MXY1cWtRLTV0d1VxbEN0aC1aYWhkNDRNT08wRFFQUVVTX09MZzl5Vm5qLVZSWGMtaw?oc=5,2023-11-20,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNZko5V2FodnN4UC1aYWNmRzVyajBKd25PaVdfaTZHLXQzb3Z2aTFGcVkzLWdPTGFpZkZHMWNzdWdvUGg1Rk5JSkRzZ1NvaE5GNTBGdElJTUEzd0YtdVBnVG9TWlNCdHR4bU1UY0Qxbzk1bV9QaHN1OVFfNWxXUkY3VDRPQk12dlVIWGpLSVE1MXY1cWtRLTV0d1VxbEN0aC1aYWhkNDRNT08wRFFQUVVTX09MZzl5Vm5qLVZSWGMtaw?oc=5"" target=""_blank"">India Cricket Star's Sickness Shows Dengue’s Rising Danger: Prognosis</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg</font>"
dengue India,Dengue risk re-evaluated: India research finds first infections can be as severe as secondary - The Economic Times,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNcXRXbVFYR1V3eUxvWTJBT1JIUUs5bWducHkxV2dwSXBFckVPaGdVZDFWOG9EYlIyM1lsQ1V3b0RfNmQ2NjN1ZkpKUUpERlo2QWhlUXNzRDlTTUk0dndrSlM5SkdOZUZUNHVGLWJ3Z25PRUQxZzZyRTBKWFl3Ul85R0hoTk9PWHNicy15WFFBWFlEa0phNEFfNnVJbEhMMmk4VlpQLWV4Unhxa3VzOG1xNXVySnpJaTR2RWNFZEdySGRfZWNRdFdiX0JHZ2F0NFR1cGNIQmtVanRMcjVQTVpGVEZzYzNMNV9ZaEFxb0ItTVJaMkZTdGNn0gH8AUFVX3lxTE8tS2pLX2dxanQxMVVEV2dHSmhVWTVPeF9ENU1UVGhOcFJkMkhGeUpIMlM1ZXhZUTFKYVJYMHpxSEMzc29ObXVhMVdoal9YbURVa2Vhb0tBMUh5cm5nWVFSaG0teUZpTlBZdEl3T251SlRTbGhuR29KV3VUYzJyaXZ2bzdJTFZPRVNYbUwzY0JQRldSSjl4YWhoR01YN3lGZW9xVlZsSC1Vd29kdHJMV3VtQlVDSzdrNzdJa21NNkN6R3NKRHhNa3MxWC1jX2pPb1Y3a2o4ektURnB3b01vLXJvbDJlTE0xTW9wOF9maHkwZUY2ajJ2a0xiZnY4Sw?oc=5,2024-03-11,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxNcXRXbVFYR1V3eUxvWTJBT1JIUUs5bWducHkxV2dwSXBFckVPaGdVZDFWOG9EYlIyM1lsQ1V3b0RfNmQ2NjN1ZkpKUUpERlo2QWhlUXNzRDlTTUk0dndrSlM5SkdOZUZUNHVGLWJ3Z25PRUQxZzZyRTBKWFl3Ul85R0hoTk9PWHNicy15WFFBWFlEa0phNEFfNnVJbEhMMmk4VlpQLWV4Unhxa3VzOG1xNXVySnpJaTR2RWNFZEdySGRfZWNRdFdiX0JHZ2F0NFR1cGNIQmtVanRMcjVQTVpGVEZzYzNMNV9ZaEFxb0ItTVJaMkZTdGNn0gH8AUFVX3lxTE8tS2pLX2dxanQxMVVEV2dHSmhVWTVPeF9ENU1UVGhOcFJkMkhGeUpIMlM1ZXhZUTFKYVJYMHpxSEMzc29ObXVhMVdoal9YbURVa2Vhb0tBMUh5cm5nWVFSaG0teUZpTlBZdEl3T251SlRTbGhuR29KV3VUYzJyaXZ2bzdJTFZPRVNYbUwzY0JQRldSSjl4YWhoR01YN3lGZW9xVlZsSC1Vd29kdHJMV3VtQlVDSzdrNzdJa21NNkN6R3NKRHhNa3MxWC1jX2pPb1Y3a2o4ektURnB3b01vLXJvbDJlTE0xTW9wOF9maHkwZUY2ajJ2a0xiZnY4Sw?oc=5"" target=""_blank"">Dengue risk re-evaluated: India research finds first infections can be as severe as secondary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>"
dengue India,What Time Of Year Is Dengue Most Common In India? Measures To Stay Safe - OnlyMyHealth,https://news.google.com/rss/articles/CBMilwFBVV95cUxQZmdFcDVaNWpvUDV1VGx1YTRPM2tKWFR2S3dPT2NaR2l4X1FpdE1RZlZRV0dEakpLS1BPSEtRVGNqTzQ5aGNaOW9ySjJXZ3BkUjdKYmJHV0ttQTJIdXJxSWV1QjE4MmloRDNpa0cyOGhwWEVSRkNPV1ZrM0dHS000ZFUwR1h5aUJxYVdIQV80ZkRkLWhVRTNV?oc=5,2023-07-28,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQZmdFcDVaNWpvUDV1VGx1YTRPM2tKWFR2S3dPT2NaR2l4X1FpdE1RZlZRV0dEakpLS1BPSEtRVGNqTzQ5aGNaOW9ySjJXZ3BkUjdKYmJHV0ttQTJIdXJxSWV1QjE4MmloRDNpa0cyOGhwWEVSRkNPV1ZrM0dHS000ZFUwR1h5aUJxYVdIQV80ZkRkLWhVRTNV?oc=5"" target=""_blank"">What Time Of Year Is Dengue Most Common In India? Measures To Stay Safe</a>&nbsp;&nbsp;<font color=""#6f6f6f"">OnlyMyHealth</font>"
dengue India,Dengue: Heavy rains during July 2023 led to outbreaks across India - Down To Earth,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNeUhtNGlHdmFlRFFiYklXNURBOVZQeFItREZZOTlHb19rY3BhWVpQRE5faWZLc0hOTWhLNEJJZDVoLXVpdGNadlRlcTlTX1dSNUdiN3dMV013Qms5OHoxazc1akJ1TUZMenpNanRXTkNrcTlETElqR3Q2WGhaYi1pSkh5aElpdktYYmZ3WEdRNVZVczZuLV82SlpFZTN5akQyOHE2VDlJTU1EVzR6RHZ3MTRndmNJQzQy0gHGAUFVX3lxTE1hQk00MXA1a1JLUHlsbjFwclY1LW5HMXFiZHpJTVVqWlRNU1liRmRxOXlTNm1XekdMSHZiaml6RGZyQ2NySE9UVm5mdno2S19VQ21fOXJMZTJvTVhvTER3b1JNcGFadjg4eUs1OGQ1WFdmMzZOcWJubVVjSGstVEhpanZUeXdMVEZBbXZtM3V3Q3RLcXM5ZnZ0SnpZRHRkdGlMUG1xUkVVNmVRNER3eG5vZTNvRlpsb3Zlbk1OTzBmQ3Bkc1VRUQ?oc=5,2023-09-29,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNeUhtNGlHdmFlRFFiYklXNURBOVZQeFItREZZOTlHb19rY3BhWVpQRE5faWZLc0hOTWhLNEJJZDVoLXVpdGNadlRlcTlTX1dSNUdiN3dMV013Qms5OHoxazc1akJ1TUZMenpNanRXTkNrcTlETElqR3Q2WGhaYi1pSkh5aElpdktYYmZ3WEdRNVZVczZuLV82SlpFZTN5akQyOHE2VDlJTU1EVzR6RHZ3MTRndmNJQzQy0gHGAUFVX3lxTE1hQk00MXA1a1JLUHlsbjFwclY1LW5HMXFiZHpJTVVqWlRNU1liRmRxOXlTNm1XekdMSHZiaml6RGZyQ2NySE9UVm5mdno2S19VQ21fOXJMZTJvTVhvTER3b1JNcGFadjg4eUs1OGQ1WFdmMzZOcWJubVVjSGstVEhpanZUeXdMVEZBbXZtM3V3Q3RLcXM5ZnZ0SnpZRHRkdGlMUG1xUkVVNmVRNER3eG5vZTNvRlpsb3Zlbk1OTzBmQ3Bkc1VRUQ?oc=5"" target=""_blank"">Dengue: Heavy rains during July 2023 led to outbreaks across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>"
