video,time,text,likes,term
https://www.youtube.com/watch?v=jpiKpV0jAhQ,3 years ago,Yeah we can't fight dengue and wants to be super power. Sad really sad.,,dengue
https://www.youtube.com/watch?v=kzftXvi-3zc,3 years ago,fire and smoke to kill mosquitos and get rid of dengue.,,dengue
https://www.youtube.com/watch?v=7CmyBZs6-Bw,3 years ago,Why health professionals are not banning pesticides GMO chemicals alcohol which causes dengue why closing open drains nalaas that is a breeding grounds for mosquitoes when health professionals will. Like our health,,dengue
https://www.youtube.com/watch?v=I-jURJRXX_M,3 years ago,Dengue fever faelne ki stithi hone par dengxia vaccine injection aur moahelne  phahelne ki stithi mein maleria vaccine injection ka production aur supply turant karein,,dengue
https://www.youtube.com/watch?v=uu52P8w0B5o,3 years ago,Why health professionals are not banning pesticides GMO chemicals alcohol which causes dengue,,dengue
https://www.youtube.com/watch?v=uu52P8w0B5o,3 years ago,Need for launch of dengue vaccine in india as soon as possible,,dengue
https://www.youtube.com/watch?v=ShV2Bdk8YuI,5 years ago,"FDA approves Dengvaxia® for the prevention of dengue in individuals ages 9 through 16 living in U.S. endemic area


http://www.news.sanofi.us/2019-05-01-FDA-approves-Dengvaxia-R-for-the-prevention-of-dengue-in-individuals-ages-9-through-16-living-in-U-S-endemic-areas



BRIDGEWATER, N.J., May 1, 2019 /PRNewswire/ -- The U.S. Food and Drug Administration (FDA) approved Dengvaxia® (Dengue Tetravalent Vaccine, Live) for the prevention of dengue disease caused by serotypes 1 – 4 of the virus in individuals 9 through 16 years of age living in endemic areas of the U.S. with a laboratory-documented prior infection. Dengvaxia is the first and only vaccine approved for protection against dengue in endemic areas of the U.S.",,dengue
https://www.youtube.com/watch?v=ShV2Bdk8YuI,5 years ago,"https://www.youtube.com/watch?v=NEaixecdeBM
How to protect yourself from Dengue fever - comments from a Child specialist doctor",,dengue
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago (edited),One of my siblings have dengue fever and me and my other sibling also might have dengue fever.. I'm also 11,,dengue
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago (edited),"Few months back US launched Genetically modified mosquitos, dengue is everywhere in country now😵",,dengue
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago,The best medicine for dengue medicine within 2 days contact me,,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,"m suffering from dengue .... weakness boht aa gyi h ..sans proper nahi aati...loose motion immediately after eating food...5-6 times motions in a day... platelet 1.10 lakh...cbr 16


Doctor please make a video on how to recover or suggest something what i do .... mentally boht preshaan ho raha hu kahi marr hi na jau jldi",,dengue
https://www.youtube.com/watch?v=6zs6EzgG6kY,2 years ago,sir dengue ke mosquitoes day mai. hi kat te hai kya....ye sach hai kya,,dengue
