query,title,url,published,views
dengue india,"Centre Writes To States On Control, Prevention Of Dengue | Coronavirus: Facts vs Myths",https://www.youtube.com/watch?v=jpiKpV0jAhQ,3 years ago,2.1K views
dengue india,"Dengue Outbreak: After COVID, India Battles Dengue Outbreak",https://www.youtube.com/watch?v=kzftXvi-3zc,3 years ago,1.9K views
dengue india,Dengue cases on the rise in India | Dengue Health Insurance | Policybazaar,https://www.youtube.com/watch?v=VZheOnhVRuU,2 years ago,966 views
dengue india,India fears rise in Dengue fever,https://www.youtube.com/watch?v=728tqwUGOU0,12 years ago,2.2K views
dengue india,"Amid Thousands Of Cases, Dengue Outbreak Next Health Emergency? | India Today",https://www.youtube.com/watch?v=7CmyBZs6-Bw,3 years ago,2.2K views
dengue india,Evolutionary Dynamics of Dengue virus in India - Suraj Jagtap,https://www.youtube.com/watch?v=ORB8Xq5rIWM,Streamed 1 year ago,696 views
dengue india,Dengue Outbreak: Dr Naresh Trehan Tells Us Ways To Protect From Dengue Fever,https://www.youtube.com/watch?v=UdijMIA7An0,3 years ago,2.3K views
dengue india,"A made-in-India dengue vaccine? It could take 5 years, say scientists",https://www.youtube.com/watch?v=I-jURJRXX_M,9 years ago,6.7K views
dengue india,Dengue Fever Cases Increase Sharply in Northern India,https://www.youtube.com/watch?v=gm8hXArk-4I,3 years ago,3.2K views
dengue india,Dengue fever cases underestimated in India,https://www.youtube.com/watch?v=BvBEHxIgb4Q,10 years ago,1.1K views
dengue india,Dengue stings National Capital,https://www.youtube.com/watch?v=hxwi-uYO7zc,12 years ago,256 views
dengue india,How Dengue Has Led To A Health Crisis In India | NewsMo,https://www.youtube.com/watch?v=StCBY-DHrVY,3 years ago,1.4K views
dengue india,"Alarming Dengue Outbreak In Delhi-NCR, Spike In Cases Among Kids | India Today",https://www.youtube.com/watch?v=uu52P8w0B5o,3 years ago,3.7K views
dengue india,"Dengue Caseload In Delhi Crosses 2,700 Infections | India Today Ground Report",https://www.youtube.com/watch?v=X5mQ44PWfHY,3 years ago,1.6K views
dengue india,India - Dengue fever epidemic,https://www.youtube.com/watch?v=ShV2Bdk8YuI,9 years ago,43K views
dengue india,"Massive Outbreak Of Dengue In India, What Are Its Concerns, Precautionary Measures? | Nation Tonight",https://www.youtube.com/watch?v=pNOIFoKCwC0,1 year ago,224 views
dengue india,India Today Reality Check On Fighting Raising Dengue In Delhi,https://www.youtube.com/watch?v=s8_p7XdFSOI,8 years ago,106 views
dengue india,Dengue India 2021 | Dengue Cases Cross 1 Lac In India | Dengue India News | CNN News18 Live,https://www.youtube.com/watch?v=wbzTdkylVkw,Streamed 3 years ago,358 views
dengue india,"Dengue Virus Stings India; With 38000 Cases And 30 Dead, Bengal Braced For Worst? | Urban Debate",https://www.youtube.com/watch?v=ZxThgLisbgA,1 year ago,667 views
dengue india,Behtar India Campaign: Protecting Underprivileged Children Against Dengue,https://www.youtube.com/watch?v=spaUhLgbj9M,7 years ago,463 views
डेंगू भारत,Des Ki Baat: Deadly Dengue Fever Rips Through Western UP,https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago,25K views
