video,time,text,likes,term,clean_text,sentiment
https://www.youtube.com/watch?v=jpiKpV0jAhQ,3 years ago,Yeah we can't fight dengue and wants to be super power. Sad really sad.,,dengue,yeah we cant fight dengue and wants to be super power sad really sad,positive
https://www.youtube.com/watch?v=kzftXvi-3zc,3 years ago,fire and smoke to kill mosquitos and get rid of dengue.,,dengue,fire and smoke to kill mosquitos and get rid of dengue,negative
https://www.youtube.com/watch?v=7CmyBZs6-Bw,3 years ago,Why health professionals are not banning pesticides GMO chemicals alcohol which causes dengue why closing open drains nalaas that is a breeding grounds for mosquitoes when health professionals will. Like our health,,dengue,why health professionals are not banning pesticides gmo chemicals alcohol which causes dengue why closing open drains nalaas that is a breeding grounds for mosquitoes when health professionals will like our health,positive
https://www.youtube.com/watch?v=I-jURJRXX_M,3 years ago,Dengue fever faelne ki stithi hone par dengxia vaccine injection aur moahelne  phahelne ki stithi mein maleria vaccine injection ka production aur supply turant karein,,dengue,dengue fever faelne ki stithi hone par dengxia vaccine injection aur moahelne  phahelne ki stithi mein maleria vaccine injection ka production aur supply turant karein,neutral
https://www.youtube.com/watch?v=uu52P8w0B5o,3 years ago,Why health professionals are not banning pesticides GMO chemicals alcohol which causes dengue,,dengue,why health professionals are not banning pesticides gmo chemicals alcohol which causes dengue,neutral
https://www.youtube.com/watch?v=uu52P8w0B5o,3 years ago,Need for launch of dengue vaccine in india as soon as possible,,dengue,need for launch of dengue vaccine in india as soon as possible,neutral
https://www.youtube.com/watch?v=ShV2Bdk8YuI,5 years ago,"FDA approves Dengvaxia® for the prevention of dengue in individuals ages 9 through 16 living in U.S. endemic area


http://www.news.sanofi.us/2019-05-01-FDA-approves-Dengvaxia-R-for-the-prevention-of-dengue-in-individuals-ages-9-through-16-living-in-U-S-endemic-areas



BRIDGEWATER, N.J., May 1, 2019 /PRNewswire/ -- The U.S. Food and Drug Administration (FDA) approved Dengvaxia® (Dengue Tetravalent Vaccine, Live) for the prevention of dengue disease caused by serotypes 1 – 4 of the virus in individuals 9 through 16 years of age living in endemic areas of the U.S. with a laboratory-documented prior infection. Dengvaxia is the first and only vaccine approved for protection against dengue in endemic areas of the U.S.",,dengue,"fda approves dengvaxia for the prevention of dengue in individuals ages 9 through 16 living in us endemic area






bridgewater nj may 1 2019 prnewswire  the us food and drug administration fda approved dengvaxia dengue tetravalent vaccine live for the prevention of dengue disease caused by serotypes 1  4 of the virus in individuals 9 through 16 years of age living in endemic areas of the us with a laboratorydocumented prior infection dengvaxia is the first and only vaccine approved for protection against dengue in endemic areas of the us",positive
https://www.youtube.com/watch?v=ShV2Bdk8YuI,5 years ago,"https://www.youtube.com/watch?v=NEaixecdeBM
How to protect yourself from Dengue fever - comments from a Child specialist doctor",,dengue,how to protect yourself from dengue fever  comments from a child specialist doctor,positive
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago (edited),One of my siblings have dengue fever and me and my other sibling also might have dengue fever.. I'm also 11,,dengue,one of my siblings have dengue fever and me and my other sibling also might have dengue fever im also 11,neutral
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago (edited),"Few months back US launched Genetically modified mosquitos, dengue is everywhere in country now😵",,dengue,few months back us launched genetically modified mosquitos dengue is everywhere in country now,positive
https://www.youtube.com/watch?v=o0JLkRxQ4-o,3 years ago,The best medicine for dengue medicine within 2 days contact me,,dengue,the best medicine for dengue medicine within 2 days contact me,positive
